sender,subject,body,label
support@paypa1.com,Account Verification Required,"Your account has been limited. Verify immediately to restore access.",phishing
alerts@amazon-secure.net,Security Alert,"Unusual activity detected. Confirm now to avoid suspension.",phishing
admin@upi-refund.co,Refund Pending,"Click the link to receive your refund within 24 hours.",phishing
security@icici-alerts.com,KYC Update Required,"Verify your KYC immediately to prevent account block.",phishing
noreply@netflix-billing.support,Payment Failed,"Update billing details to continue your subscription.",phishing
info@bank.com,Monthly Statement,"Your monthly account statement is attached.",legitimate
noreply@google.com,Security Notification,"New sign-in detected on your Google account.",legitimate
support@amazon.in,Order Confirmation,"Your order has been successfully placed.",legitimate
alerts@icicibank.com,Transaction Alert,"INR 2,500 debited from your account.",legitimate
admin@college.edu,Exam Notice,"Mid-semester exam schedule has been released.",legitimate
hr@company.com,Policy Update,"Please review the updated HR policy document.",legitimate
no-reply@linkedin.com,New Login Alert,"A new login was detected on your LinkedIn account.",legitimate
